"report_date","report_source","report_period","massacres_cum","ext_massacres_cum","killed","killed_cum","killed_children_cum","killed_women_cum","ext_killed","ext_killed_cum","ext_killed_children_cum","ext_killed_women_cum","injured","injured_cum","ext_injured","ext_injured_cum","civdef_killed_cum","ext_civdef_killed_cum","med_killed_cum","ext_med_killed_cum","press_killed_cum","ext_press_killed_cum"
"2023-10-07","mohtel","24","","0","232","232","","","232","232","0","0","","1610","1610","1610","","0","6","6","1","1"
"2023-10-08","mohtel","24","","0","138","370","78","41","138","370","78","41","","1788","178","1788","","0","","6","1","1"
"2023-10-09","mohtel","24","","8","190","560","91","61","190","560","91","61","","2271","483","2271","","0","6","6","3","3"
"2023-10-10","mohtel","24","","8","340","900","260","230","340","900","260","230","","4000","1729","4000","","0","","6","7","7"
"2023-10-11","gmotel","24","","23","200","1100","","","200","1100","398","230","1029","5184","1184","5184","","0","10","10","","7"
"2023-10-12","mohtel","24","","23","317","1417","500","276","317","1417","500","276","579","5763","579","5763","","0","11","11","","7"
"2023-10-13","missing","24","","23","483","1900","","","483","1900","500","392","","","1475","7238","","0","11","11","","7"
"2023-10-14","gmotel","24","","23","328","2228","","","328","2228","600","600","","8714","1476","8714","","0","11","11","","7"
"2023-10-15","gmotel","24","","23","442","2670","","","442","2670","700","735","1000","9200","486","9200","","0","","11","","7"
"2023-10-16","gmotel","24","371","371","138","2808","853","936","138","2808","853","936","562","10850","1650","10850","7","7","37","37","","7"
"2023-10-17","gmotel","24","394","394","192","3000","940","1032","192","3000","940","936","575","","607","11457","","7","37","37","16","16"
"2023-10-18","mohtel","24","","394","478","3478","","","478","3478","1000","936","","12065","608","12065","","7","","37","","16"
"2023-10-19","mohtel","24","","394","307","3785","1524","1000","307","3785","1524","936","","12493","428","12493","","7","44","44","","16"
"2023-10-20","mohtel","24","","431","352","4137","","","352","4137","1756","936","669","13162","669","13162","","7","46","46","","16"
"2023-10-21","mohtel","24","","460","248","4385","1756","967","248","4385","1756","967","400","13561","399","13561","","7","51","51","","16"
"2023-10-22","mohtel","24","","484","266","4651","1873","1023","266","4651","1873","1023","","14245","684","14245","","7","54","54","","16"
"2023-10-23","mohtel","24","","507","436","5087","2055","1119","436","5087","2055","1119","","15273","1028","15273","","7","57","57","","16"
"2023-10-24","mohtel","24","644","644","704","5791","2360","1292","704","5791","2360","1292","","16297","1024","16297","","7","65","65","","16"
"2023-10-25","mohtel","24","","688","756","6547","2704","1584","756","6547","2704","1584","1142","17439","1142","17439","","7","73","73","","16"
"2023-10-26","mohtel","24","","731","481","7028","","","481","7028","3038","1600","","18482","1043","18482","","7","101","101","","16"
"2023-10-27","mohtel","24","772","772","298","7326","3038","1726","298","7326","3038","1726","","18967","485","18967","","7","104","104","","16"
"2023-10-28","missing","24","","772","377","7703","","","377","7703","3168","1916","","","637","19604","","7","","104","","16"
"2023-10-29","mohtel","24","881","881","302","8005","3324","2062","302","8005","3324","2062","","20242","638","20242","","7","116","116","","16"
